Height: 49.8501, Sum: 1000
x	y	r
15.592	40.175	0.495
16.581	40.223	0.495
17.569	40.271	0.495
18.559	40.320	0.496
19.550	40.369	0.496
20.538	40.461	0.496
21.526	40.548	0.496
22.517	40.612	0.497
23.510	40.660	0.497
24.503	40.695	0.497
0.597	38.241	0.482
1.523	38.507	0.482
2.452	38.772	0.483
3.378	39.044	0.483
4.305	39.316	0.483
5.231	39.592	0.483
6.161	39.856	0.484
7.094	40.116	0.484
8.027	40.372	0.484
8.965	40.615	0.485
9.934	40.663	0.485
10.904	40.648	0.485
11.865	40.791	0.486
12.831	40.898	0.486
13.798	40.993	0.486
14.767	41.076	0.487
15.739	41.146	0.487
16.712	41.196	0.487
17.685	41.247	0.488
18.660	41.299	0.488
19.635	41.349	0.488
20.606	41.443	0.488
21.579	41.532	0.489
22.555	41.597	0.489
23.532	41.646	0.489
24.510	41.682	0.490
0.308	38.959	0.292
0.993	39.301	0.473
1.904	39.557	0.474
2.816	39.818	0.474
3.727	40.079	0.474
4.638	40.345	0.475
5.554	40.598	0.475
6.471	40.846	0.475
7.390	41.090	0.476
8.314	41.321	0.476
9.241	41.535	0.476
10.193	41.590	0.477
11.146	41.579	0.477
12.089	41.728	0.477
13.037	41.839	0.478
13.988	41.938	0.478
14.940	42.026	0.478
15.894	42.100	0.479
16.851	42.152	0.479
17.807	42.206	0.479
18.765	42.261	0.480
19.723	42.313	0.480
20.679	42.408	0.480
21.635	42.500	0.481
22.595	42.566	0.481
23.556	42.616	0.481
24.518	42.654	0.482
0.530	40.116	0.464
1.425	40.363	0.464
2.319	40.613	0.464
3.213	40.865	0.465
4.107	41.121	0.465
5.005	41.361	0.465
5.906	41.598	0.466
6.808	41.831	0.466
7.715	42.050	0.467
8.627	42.251	0.467
9.544	42.428	0.467
10.477	42.491	0.468
11.413	42.486	0.468
12.336	42.640	0.468
13.266	42.758	0.469
14.198	42.861	0.469
15.132	42.953	0.469
16.067	43.033	0.470
17.006	43.089	0.470
